"","iso_code","country","year","coal_prod_change_pct","coal_prod_change_twh","coal_share_elec","coal_cons_change_pct","coal_share_energy","coal_cons_change_twh","coal_consumption","coal_elec_per_capita","coal_cons_per_capita","coal_production","coal_prod_per_capita","coal_electricity","rank"
"61","PER","Peru",2019,0,NA,1.036,-32.551,1.875,-2.919,6.048,18.256,186.038,NA,NA,0.594,61
"62","DZA","Algeria",2019,0,NA,0,0,0.825,0,5.815,0,135.066,NA,NA,0,62
"63","HRV","Croatia",2019,NA,NA,10.835,18.128,5.313,0.77,5.018,331.017,1215.099,NA,NA,1.367,63
"64","LTU","Lithuania",2019,NA,NA,0,-3.598,3.485,-0.088,2.37,0,858.74,NA,NA,0,64
"65","KWT","Kuwait",2019,NA,NA,0,-5.283,0.464,-0.118,2.11,0,501.479,NA,NA,0,65
"66","OMN","Oman",2019,NA,NA,0,120.663,0.455,1.045,1.912,0,384.273,NA,NA,0,66
"67","ISL","Iceland",2019,NA,NA,0,0,2.186,0,1.333,0,3933.14,NA,NA,0,67
"68","CHE","Switzerland",2019,NA,NA,0,0,0.38,0,1.192,0,138.711,NA,NA,0,68
"69","SAU","Saudi Arabia",2019,NA,NA,0,0,0.039,0,1.189,0,34.707,NA,NA,0,69
"70","VEN","Venezuela",2019,49.102,0.844,0,-34.351,0.142,-0.459,0.878,0,30.79,2.563,89.884,0,70
"71","LVA","Latvia",2019,NA,NA,0.003,52.083,1.924,0.291,0.849,0.109,445.197,NA,NA,0,71
"72","LUX","Luxembourg",2019,NA,NA,0,32.604,1.376,0.16,0.65,0,1054.766,NA,NA,0,72
"73","CYP","Cyprus",2019,NA,NA,0,22.771,0.6,0.036,0.194,0,162.092,NA,NA,0,73
"74","AZE","Azerbaijan",2019,NA,NA,0,0,0.008,0,0.014,0,1.426,NA,NA,0,74
"75","ECU","Ecuador",2019,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,75
"76","IRQ","Iraq",2019,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,76
"77","QAT","Qatar",2019,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,77
"78","TTO","Trinidad and Tobago",2019,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,78
"79","TKM","Turkmenistan",2019,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,79
