"","continent","year","energy_type","meanconsmp","logmeanconsmp"
"170","Americas",1994,"low_carbon",484.994636363636,6.18413783183228
"171","Americas",1995,"fossil",2484.36318181818,7.81777164082738
"172","Americas",1995,"low_carbon",512.272363636364,6.2388564438261
"173","Americas",1996,"fossil",2568.57354545455,7.851105983118
"174","Americas",1996,"low_carbon",530.632909090909,6.27407046219064
"175","Americas",1997,"fossil",2617.33481818182,7.86991183404156
"176","Americas",1997,"low_carbon",522.574181818182,6.25876694853314
"177","Americas",1998,"fossil",2649.93045454545,7.88228867506815
"178","Americas",1998,"low_carbon",520.455090909091,6.25470360365845
"179","Americas",1999,"fossil",2680.42836363636,7.89373189791005
"180","Americas",1999,"low_carbon",541.083272727273,6.29357319071174
"181","Americas",2000,"fossil",2753.04190909091,7.92046172808918
"182","Americas",2000,"low_carbon",545.782727272727,6.30222096114967
"183","Americas",2001,"fossil",2712.04245454545,7.90545730326868
"184","Americas",2001,"low_carbon",520.527272727273,6.25484228385289
"185","Americas",2002,"fossil",2739.80709090909,7.91564279212588
"186","Americas",2002,"low_carbon",544.792454545455,6.30040490478611
"187","Americas",2003,"fossil",2754.61381818182,7.92103253687297
"188","Americas",2003,"low_carbon",542.764909090909,6.29667627791757
"189","Americas",2004,"fossil",2824.85736363636,7.94621315155765
"190","Americas",2004,"low_carbon",557.735181818182,6.32388426517519
"191","Americas",2005,"fossil",2843.08609090909,7.95264539290518
"192","Americas",2005,"low_carbon",571.643,6.34851467065804
"193","Americas",2006,"fossil",2834.89472727273,7.94976008223526
"194","Americas",2006,"low_carbon",588.193636363636,6.37705620723042
"195","Americas",2007,"fossil",2895.85481818182,7.97103562040567
"196","Americas",2007,"low_carbon",594.822636363636,6.38826327096278
"197","Americas",2008,"fossil",2836.16409090909,7.95020774596024
"198","Americas",2008,"low_carbon",615.394,6.42226271308416
"199","Americas",2009,"fossil",2683.88,7.89501878770311
"200","Americas",2009,"low_carbon",623.457,6.43527979722462
"201","Americas",2010,"fossil",2798.20745454545,7.9367342963459
"202","Americas",2010,"low_carbon",630.210181818182,6.44605338567978
"203","Americas",2011,"fossil",2793.17472727273,7.93493412298333
"204","Americas",2011,"low_carbon",662.556727272727,6.49610618026672
"205","Americas",2012,"fossil",2759.43490909091,7.92278119466547
"206","Americas",2012,"low_carbon",648.629181818182,6.47486118487187
"207","Americas",2013,"fossil",2831.88009090909,7.94869611313653
"208","Americas",2013,"low_carbon",663.085727272727,6.49690428389755
"209","Americas",2014,"fossil",2859.72,7.95847899692327
"210","Americas",2014,"low_carbon",668.338,6.50479403359182
"211","Americas",2015,"fossil",2827.56936363636,7.94717273947943
"212","Americas",2015,"low_carbon",673.061363636364,6.51183650473981
"213","Americas",2016,"fossil",2789.82490909091,7.93373411624789
"214","Americas",2016,"low_carbon",696.084090909091,6.54547047330792
"215","Americas",2017,"fossil",2782.91927272727,7.93125575382068
"216","Americas",2017,"low_carbon",720.903909090909,6.58050585391062
"217","Americas",2018,"fossil",2851.61554545455,7.95564097071359
"218","Americas",2018,"low_carbon",734.027363636364,6.59854630807816
"219","Americas",2019,"fossil",2810.47690909091,7.94110946646492
"220","Americas",2019,"low_carbon",746.551272727273,6.61546429878305
"221","Asia",1965,"fossil",196.270083333333,5.27949168688308
"222","Asia",1965,"low_carbon",15.3274166666667,2.72964316378895
"223","Asia",1966,"fossil",213.976208333333,5.36586483282888
"224","Asia",1966,"low_carbon",16.1014583333333,2.77890984759847
"225","Asia",1967,"fossil",225.521125,5.4184138352645
"226","Asia",1967,"low_carbon",14.939625,2.70401707898804
"227","Asia",1968,"fossil",242.852083333333,5.49245254743864
"228","Asia",1968,"low_carbon",16.7745833333333,2.81986484399983
"229","Asia",1969,"fossil",278.49775,5.62940998034009
"230","Asia",1969,"low_carbon",17.5198333333333,2.8633335725254
"231","Asia",1970,"fossil",318.0375,5.76216930035593
"232","Asia",1970,"low_carbon",18.4577083333333,2.91548207907878
"233","Asia",1971,"fossil",334.42976,5.81242687246602
"234","Asia",1971,"low_carbon",19.73716,2.98250315334093
"235","Asia",1972,"fossil",356.57104,5.87653349068982
"236","Asia",1972,"low_carbon",20.57472,3.02406313772205
"237","Asia",1973,"fossil",389.87632,5.96582956062278
"238","Asia",1973,"low_carbon",19.30484,2.96035584167357
"239","Asia",1974,"fossil",394.4546,5.97750405128068
"240","Asia",1974,"low_carbon",22.9876,3.1349549401113
"241","Asia",1975,"fossil",407.77212,6.01070848895674
"242","Asia",1975,"low_carbon",25.2548,3.22901623666474
"243","Asia",1976,"fossil",431.01108,6.06613379742992
"244","Asia",1976,"low_carbon",26.85792,3.29056074952621
"245","Asia",1977,"fossil",462.48076,6.13660495608718
"246","Asia",1977,"low_carbon",26.01508,3.25867636988649
"247","Asia",1978,"fossil",491.77384,6.19801893601271
"248","Asia",1978,"low_carbon",30.86412,3.4295943441807
"249","Asia",1979,"fossil",516.95412,6.24795412782394
"250","Asia",1979,"low_carbon",34.59604,3.54373922464663
"251","Asia",1980,"fossil",515.2836,6.24471742870701
"252","Asia",1980,"low_carbon",38.26652,3.6445753624574
"253","Asia",1981,"fossil",520.25996,6.25432860973249
"254","Asia",1981,"low_carbon",41.17648,3.71786721955859
"255","Asia",1982,"fossil",527.754,6.26863026604599
"256","Asia",1982,"low_carbon",43.73364,3.77811760001242
"257","Asia",1983,"fossil",554.76616,6.31854669162727
"258","Asia",1983,"low_carbon",48.0384,3.87200069107846
"259","Asia",1984,"fossil",600.08728,6.39707511130356
"260","Asia",1984,"low_carbon",51.4562,3.94073096036487
"261","Asia",1985,"fossil",599.15575862069,6.39552159539952
"262","Asia",1985,"low_carbon",50.6500689655172,3.92494059230319
"263","Asia",1986,"fossil",626.613551724138,6.44033000567672
"264","Asia",1986,"low_carbon",52.6501379310345,3.96366885834929
"265","Asia",1987,"fossil",662.508965517241,6.49603409062502
"266","Asia",1987,"low_carbon",57.6070689655172,4.05364528526752
"267","Asia",1988,"fossil",711.948344827586,6.56800535938068
"268","Asia",1988,"low_carbon",60.4106551724138,4.10116549952163
"269","Asia",1989,"fossil",748.825724137931,6.61850627838998
"270","Asia",1989,"low_carbon",63.1824827586207,4.14602709119287
"271","Asia",1990,"fossil",775.884862068966,6.6540041355523
"272","Asia",1990,"low_carbon",66.6761724137931,4.19984765392238
"273","Asia",1991,"fossil",812.047793103448,6.69955919693137
"274","Asia",1991,"low_carbon",69.1632413793103,4.23646952754954
"275","Asia",1992,"fossil",855.17975862069,6.75131169083939
"276","Asia",1992,"low_carbon",70.3546206896552,4.25354846284846
"277","Asia",1993,"fossil",889.907896551724,6.7911179703505
"278","Asia",1993,"low_carbon",78.2516551724138,4.35992998155967
"279","Asia",1994,"fossil",942.767344827586,6.84881953408918
"280","Asia",1994,"low_carbon",80.2653793103448,4.38533838614556
"281","Asia",1995,"fossil",977.263379310345,6.88475619535483
"282","Asia",1995,"low_carbon",88.5688965517241,4.48378074125595
"283","Asia",1996,"fossil",1023.76006896552,6.93123747049427
"284","Asia",1996,"low_carbon",90.2448965517241,4.50252704771076
"285","Asia",1997,"fossil",1052.43224137931,6.95885918474714
"286","Asia",1997,"low_carbon",93.6007931034483,4.53903885677509
"287","Asia",1998,"fossil",1047.08717241379,6.95376746663466
"288","Asia",1998,"low_carbon",98.716,4.5922470406976
"289","Asia",1999,"fossil",1088.52186206897,6.99257596505625
"290","Asia",1999,"low_carbon",98.0615517241379,4.58559536032936
"291","Asia",2000,"fossil",1130.23517241379,7.03018100723336
"292","Asia",2000,"low_carbon",101.093,4.6160408852515
"293","Asia",2001,"fossil",1167.27965517241,7.06243123954452
"294","Asia",2001,"low_carbon",105.550275862069,4.6591873878586
"295","Asia",2002,"fossil",1231.8965862069,7.1163102008032
"296","Asia",2002,"low_carbon",108.254137931034,4.68448159184287
"297","Asia",2003,"fossil",1342.89282758621,7.20258139258412
"298","Asia",2003,"low_carbon",104.389965517241,4.64813355509389
"299","Asia",2004,"fossil",1464.28482758621,7.28912222996017
"300","Asia",2004,"low_carbon",121.446344827586,4.79947255888648
"301","Asia",2005,"fossil",1583.25617241379,7.36723887396073
"302","Asia",2005,"low_carbon",126.141206896552,4.83740196910278
"303","Asia",2006,"fossil",1673.04106896552,7.42239824878207
"304","Asia",2006,"low_carbon",135.068,4.90577835532601
"305","Asia",2007,"fossil",1786.991,7.48828847877293
"306","Asia",2007,"low_carbon",137.085724137931,4.92060645377925
"307","Asia",2008,"fossil",1835.81955172414,7.51524628297566
"308","Asia",2008,"low_carbon",148.564689655172,5.00102048396121
"309","Asia",2009,"fossil",1884.5895862069,7.54146535002614
"310","Asia",2009,"low_carbon",150.038206896552,5.01088997430618
"311","Asia",2010,"fossil",1995.91637931034,7.59885856186073
"312","Asia",2010,"low_carbon",168.395448275862,5.12631507220221
"313","Asia",2011,"fossil",2119.93320689655,7.65913986098886
"314","Asia",2011,"low_carbon",162.974896551724,5.09359618006105
"315","Asia",2012,"fossil",2196.00682758621,7.69439591172577
"316","Asia",2012,"low_carbon",168.023,5.12410087479456
"317","Asia",2013,"fossil",2251.12055172414,7.71918339421468
"318","Asia",2013,"low_carbon",184.444034482759,5.21734608132806
"319","Asia",2014,"fossil",2286.23989655172,7.73466378047245
"320","Asia",2014,"low_carbon",202.980034482759,5.3131076219032
"321","Asia",2015,"fossil",2318.63106896552,7.74873223402814
"322","Asia",2015,"low_carbon",218.708172413793,5.38773829513175
"323","Asia",2016,"fossil",2353.89931034483,7.76382851305018
"324","Asia",2016,"low_carbon",237.631793103448,5.47072238789476
"325","Asia",2017,"fossil",2409.57251724138,7.78720463201322
"326","Asia",2017,"low_carbon",258.015586206897,5.55301999475155
"327","Asia",2018,"fossil",2479.48913793103,7.81580782516986
