"","continent","year","energy_type","meanconsmp"
"196","Americas",1975,"coal",347.156636363636
"197","Americas",1975,"nuclear",49.6645454545455
"198","Americas",1975,"renewable",165.208272727273
"199","Americas",1976,"coal",373.044818181818
"200","Americas",1976,"nuclear",55.8459090909091
"201","Americas",1976,"renewable",168.383454545455
"202","Americas",1977,"coal",388.853363636364
"203","Americas",1977,"nuclear",73.7541818181818
"204","Americas",1977,"renewable",158.463363636364
"205","Americas",1978,"coal",381.294818181818
"206","Americas",1978,"nuclear",82.083
"207","Americas",1978,"renewable",180.598818181818
"208","Americas",1979,"coal",413.009272727273
"209","Americas",1979,"nuclear",77.4109090909091
"210","Americas",1979,"renewable",188.926
"211","Americas",1980,"coal",427.558181818182
"212","Americas",1980,"nuclear",76.9456363636364
"213","Americas",1980,"renewable",194.470818181818
"214","Americas",1981,"coal",439.892545454545
"215","Americas",1981,"nuclear",83.3100909090909
"216","Americas",1981,"renewable",197.342454545455
"217","Americas",1982,"coal",426.880454545455
"218","Americas",1982,"nuclear",85.319
"219","Americas",1982,"renewable",211.334090909091
"220","Americas",1983,"coal",444.066727272727
"221","Americas",1983,"nuclear",91.1992727272727
"222","Americas",1983,"renewable",223.510090909091
"223","Americas",1984,"coal",478.764
"224","Americas",1984,"nuclear",101.861636363636
"225","Americas",1984,"renewable",233.840818181818
"226","Americas",1985,"coal",490.290818181818
"227","Americas",1985,"nuclear",119.584272727273
"228","Americas",1985,"renewable",234.000727272727
"229","Americas",1986,"coal",483.261727272727
"230","Americas",1986,"nuclear",129.533363636364
"231","Americas",1986,"renewable",240.590181818182
"232","Americas",1987,"coal",505.613636363636
"233","Americas",1987,"nuclear",142.406909090909
"234","Americas",1987,"renewable",235.983545454545
"235","Americas",1988,"coal",528.586909090909
"236","Americas",1988,"nuclear",162.621727272727
"237","Americas",1988,"renewable",230.318272727273
"238","Americas",1989,"coal",536.013636363636
"239","Americas",1989,"nuclear",162.569090909091
"240","Americas",1989,"renewable",242.252181818182
"241","Americas",1990,"coal",533.879454545455
