"","continent","year","energy_type","meanconsmp"
"86","Africa",2007,"low_carbon",20.5415
"87","Africa",2008,"fossil",702.555
"88","Africa",2008,"low_carbon",21.30725
"89","Africa",2009,"fossil",714.70075
"90","Africa",2009,"low_carbon",21.56025
"91","Africa",2010,"fossil",730.9605
"92","Africa",2010,"low_carbon",22.049
"93","Africa",2011,"fossil",738.429
"94","Africa",2011,"low_carbon",22.234
"95","Africa",2012,"fossil",757.9615
"96","Africa",2012,"low_carbon",20.71825
"97","Africa",2013,"fossil",764.493
"98","Africa",2013,"low_carbon",22.35975
"99","Africa",2014,"fossil",780.269
"100","Africa",2014,"low_carbon",23.40025
"101","Africa",2015,"fossil",781.2315
"102","Africa",2015,"low_carbon",24.99925
"103","Africa",2016,"fossil",808.4195
"104","Africa",2016,"low_carbon",28.70625
"105","Africa",2017,"fossil",815.26925
"106","Africa",2017,"low_carbon",30.18825
"107","Africa",2018,"fossil",837.61325
"108","Africa",2018,"low_carbon",29.9655
"109","Africa",2019,"fossil",852.3295
"110","Africa",2019,"low_carbon",34.53225
"111","Americas",1965,"fossil",1472.44036363636
"112","Americas",1965,"low_carbon",96.3928181818182
"113","Americas",1966,"fossil",1556.94572727273
"114","Americas",1966,"low_carbon",101.732181818182
"115","Americas",1967,"fossil",1607.10481818182
"116","Americas",1967,"low_carbon",110.774909090909
"117","Americas",1968,"fossil",1710.244
"118","Americas",1968,"low_carbon",114.552727272727
"119","Americas",1969,"fossil",1797.07490909091
"120","Americas",1969,"low_carbon",126.829
"121","Americas",1970,"fossil",1864.76636363636
"122","Americas",1970,"low_carbon",133.127
"123","Americas",1971,"fossil",1900.87572727273
"124","Americas",1971,"low_carbon",145.795818181818
"125","Americas",1972,"fossil",2001.74963636364
"126","Americas",1972,"low_carbon",160.54
"127","Americas",1973,"fossil",2090.603
"128","Americas",1973,"low_carbon",176.585090909091
"129","Americas",1974,"fossil",2041.48245454545
"130","Americas",1974,"low_carbon",199.922272727273
"131","Americas",1975,"fossil",1984.43681818182
"132","Americas",1975,"low_carbon",214.872727272727
"133","Americas",1976,"fossil",2100.59009090909
"134","Americas",1976,"low_carbon",224.229454545455
"135","Americas",1977,"fossil",2168.78663636364
"136","Americas",1977,"low_carbon",232.217727272727
"137","Americas",1978,"fossil",2168.625
"138","Americas",1978,"low_carbon",262.681909090909
"139","Americas",1979,"fossil",2215.79136363636
"140","Americas",1979,"low_carbon",266.336818181818
"141","Americas",1980,"fossil",2159.27490909091
"142","Americas",1980,"low_carbon",271.416363636364
"143","Americas",1981,"fossil",2100.04063636364
"144","Americas",1981,"low_carbon",280.652636363636
"145","Americas",1982,"fossil",2010.75863636364
"146","Americas",1982,"low_carbon",296.653090909091
"147","Americas",1983,"fossil",1984.99054545455
"148","Americas",1983,"low_carbon",314.709454545455
"149","Americas",1984,"fossil",2085.28081818182
"150","Americas",1984,"low_carbon",335.702363636364
"151","Americas",1985,"fossil",2083.70590909091
"152","Americas",1985,"low_carbon",353.584909090909
"153","Americas",1986,"fossil",2092.34063636364
"154","Americas",1986,"low_carbon",370.123545454545
"155","Americas",1987,"fossil",2166.97927272727
"156","Americas",1987,"low_carbon",378.390363636364
"157","Americas",1988,"fossil",2260.724
"158","Americas",1988,"low_carbon",392.94
"159","Americas",1989,"fossil",2307.13081818182
"160","Americas",1989,"low_carbon",404.821272727273
"161","Americas",1990,"fossil",2289.192
"162","Americas",1990,"low_carbon",435.358
"163","Americas",1991,"fossil",2279.30672727273
"164","Americas",1991,"low_carbon",456.592363636364
"165","Americas",1992,"fossil",2337.87390909091
"166","Americas",1992,"low_carbon",454.878
"167","Americas",1993,"fossil",2382.85890909091
"168","Americas",1993,"low_carbon",472.418545454545
"169","Americas",1994,"fossil",2445.90209090909
"170","Americas",1994,"low_carbon",484.994636363636
"171","Americas",1995,"fossil",2484.36318181818
"172","Americas",1995,"low_carbon",512.272363636364
"173","Americas",1996,"fossil",2568.57354545455
"174","Americas",1996,"low_carbon",530.632909090909
"175","Americas",1997,"fossil",2617.33481818182
"176","Americas",1997,"low_carbon",522.574181818182
"177","Americas",1998,"fossil",2649.93045454545
"178","Americas",1998,"low_carbon",520.455090909091
"179","Americas",1999,"fossil",2680.42836363636
"180","Americas",1999,"low_carbon",541.083272727273
"181","Americas",2000,"fossil",2753.04190909091
"182","Americas",2000,"low_carbon",545.782727272727
"183","Americas",2001,"fossil",2712.04245454545
"184","Americas",2001,"low_carbon",520.527272727273
"185","Americas",2002,"fossil",2739.80709090909
"186","Americas",2002,"low_carbon",544.792454545455
"187","Americas",2003,"fossil",2754.61381818182
"188","Americas",2003,"low_carbon",542.764909090909
"189","Americas",2004,"fossil",2824.85736363636
"190","Americas",2004,"low_carbon",557.735181818182
"191","Americas",2005,"fossil",2843.08609090909
"192","Americas",2005,"low_carbon",571.643
"193","Americas",2006,"fossil",2834.89472727273
"194","Americas",2006,"low_carbon",588.193636363636
"195","Americas",2007,"fossil",2895.85481818182
"196","Americas",2007,"low_carbon",594.822636363636
"197","Americas",2008,"fossil",2836.16409090909
"198","Americas",2008,"low_carbon",615.394
"199","Americas",2009,"fossil",2683.88
"200","Americas",2009,"low_carbon",623.457
"201","Americas",2010,"fossil",2798.20745454545
"202","Americas",2010,"low_carbon",630.210181818182
"203","Americas",2011,"fossil",2793.17472727273
"204","Americas",2011,"low_carbon",662.556727272727
"205","Americas",2012,"fossil",2759.43490909091
"206","Americas",2012,"low_carbon",648.629181818182
"207","Americas",2013,"fossil",2831.88009090909
"208","Americas",2013,"low_carbon",663.085727272727
"209","Americas",2014,"fossil",2859.72
"210","Americas",2014,"low_carbon",668.338
"211","Americas",2015,"fossil",2827.56936363636
"212","Americas",2015,"low_carbon",673.061363636364
"213","Americas",2016,"fossil",2789.82490909091
"214","Americas",2016,"low_carbon",696.084090909091
"215","Americas",2017,"fossil",2782.91927272727
"216","Americas",2017,"low_carbon",720.903909090909
"217","Americas",2018,"fossil",2851.61554545455
"218","Americas",2018,"low_carbon",734.027363636364
"219","Americas",2019,"fossil",2810.47690909091
"220","Americas",2019,"low_carbon",746.551272727273
"221","Asia",1965,"fossil",196.270083333333
"222","Asia",1965,"low_carbon",15.3274166666667
"223","Asia",1966,"fossil",213.976208333333
"224","Asia",1966,"low_carbon",16.1014583333333
"225","Asia",1967,"fossil",225.521125
"226","Asia",1967,"low_carbon",14.939625
"227","Asia",1968,"fossil",242.852083333333
"228","Asia",1968,"low_carbon",16.7745833333333
"229","Asia",1969,"fossil",278.49775
"230","Asia",1969,"low_carbon",17.5198333333333
"231","Asia",1970,"fossil",318.0375
"232","Asia",1970,"low_carbon",18.4577083333333
"233","Asia",1971,"fossil",334.42976
"234","Asia",1971,"low_carbon",19.73716
"235","Asia",1972,"fossil",356.57104
"236","Asia",1972,"low_carbon",20.57472
"237","Asia",1973,"fossil",389.87632
"238","Asia",1973,"low_carbon",19.30484
"239","Asia",1974,"fossil",394.4546
"240","Asia",1974,"low_carbon",22.9876
"241","Asia",1975,"fossil",407.77212
"242","Asia",1975,"low_carbon",25.2548
"243","Asia",1976,"fossil",431.01108
"244","Asia",1976,"low_carbon",26.85792
"245","Asia",1977,"fossil",462.48076
"246","Asia",1977,"low_carbon",26.01508
"247","Asia",1978,"fossil",491.77384
"248","Asia",1978,"low_carbon",30.86412
"249","Asia",1979,"fossil",516.95412
"250","Asia",1979,"low_carbon",34.59604
"251","Asia",1980,"fossil",515.2836
"252","Asia",1980,"low_carbon",38.26652
"253","Asia",1981,"fossil",520.25996
"254","Asia",1981,"low_carbon",41.17648
"255","Asia",1982,"fossil",527.754
"256","Asia",1982,"low_carbon",43.73364
"257","Asia",1983,"fossil",554.76616
"258","Asia",1983,"low_carbon",48.0384
"259","Asia",1984,"fossil",600.08728
"260","Asia",1984,"low_carbon",51.4562
"261","Asia",1985,"fossil",599.15575862069
"262","Asia",1985,"low_carbon",50.6500689655172
"263","Asia",1986,"fossil",626.613551724138
"264","Asia",1986,"low_carbon",52.6501379310345
"265","Asia",1987,"fossil",662.508965517241
